NAME,Population,Households,Receipt of SNAP,Public Assist,ZIP,city,county,pop
ZCTA5 97758,76,32,8,8,97758,Riley,Harney,89
ZCTA5 97063,727,374,47,59,97063,Tygh Valley,Wasco,900
ZCTA5 97024,10014,4565,664,705,97024,Fairview,Multnomah,10344
ZCTA5 97028,162,127,0,0,97028,Government Camp,Clackamas,192
ZCTA5 97041,3084,882,166,166,97041,Mount Hood Parkdale,Hood River,2979
ZCTA5 97060,22133,6933,853,938,97060,Troutdale,Multnomah,22471
ZCTA5 97111,3441,1222,102,102,97111,Carlton,Yamhill,3572
ZCTA5 97119,5309,1749,185,204,97119,Gaston,Washington,4527
ZCTA5 97145,298,186,0,0,97145,Tolovana Park,Clatsop,352
ZCTA5 97203,34759,12805,2162,2340,97203,Portland,Multnomah,34890
ZCTA5 97206,54248,21211,2858,3270,97206,Portland,Multnomah,52996
ZCTA5 97209,19824,13633,1930,2176,97209,Portland,Multnomah,18982
ZCTA5 97211,35738,14336,1709,1803,97211,Portland,Multnomah,35429
ZCTA5 97214,28348,14052,1312,1493,97214,Portland,Multnomah,26853
ZCTA5 97231,3975,1675,99,109,97231,Portland,Multnomah,3957
ZCTA5 97304,32435,12593,1493,1604,97304,Salem,Polk,31863
ZCTA5 97306,32741,12387,1211,1399,97306,Salem,Marion,32416
ZCTA5 97357,194,120,0,0,97357,Logsden,Lincoln,174
ZCTA5 97366,1980,880,107,128,97366,South Beach,Lincoln,1772
ZCTA5 97371,592,304,93,93,97371,Rickreall,Polk,659
ZCTA5 97385,3355,1355,47,47,97385,Sublimity,Marion,3151
ZCTA5 97389,1929,699,75,75,97389,Tangent,Linn,1858
ZCTA5 97424,18361,7310,1819,2032,97424,Cottage Grove,Lane,17909
ZCTA5 97426,9987,3758,503,511,97426,Creswell,Lane,10119
ZCTA5 97434,903,296,70,70,97434,Dorena,Lane,959
ZCTA5 97458,4488,2072,559,576,97458,Myrtle Point,Coos,4390
ZCTA5 97462,4014,1669,313,313,97462,Oakland,Douglas,3730
ZCTA5 97465,1838,1055,402,402,97465,Port Orford,Curry,2021
ZCTA5 97466,1197,450,132,132,97466,Powers,Coos,1272
ZCTA5 97488,1165,474,64,69,97488,Vida,Lane,1219
ZCTA5 97490,439,132,35,35,97490,Walton,Lane,257
ZCTA5 97503,13008,4364,886,898,97503,White City,Jackson,12819
ZCTA5 97522,650,270,69,69,97522,Butte Falls,Jackson,588
ZCTA5 97523,5885,2771,817,836,97523,Cave Junction,Josephine,5485
ZCTA5 97543,482,198,8,8,97543,Wilderville,Josephine,600
ZCTA5 97544,2594,1066,93,93,97544,Williams,Josephine,2606
ZCTA5 97731,458,208,85,85,97731,Chemult,Klamath,371
ZCTA5 97754,20985,8913,1674,1748,97754,Prineville,Crook,20270
ZCTA5 97620,106,75,9,9,97620,Adel,Lake,177
ZCTA5 97621,260,126,42,42,97621,Beatty,Klamath,150
ZCTA5 97622,335,166,58,58,97622,Bly,Klamath,458
ZCTA5 97623,2672,1161,240,240,97623,Bonanza,Klamath,2566
ZCTA5 97710,102,52,0,0,97710,Fields,Harney,115
ZCTA5 97720,4383,1944,401,406,97720,Burns,Harney,4435
ZCTA5 97735,48,37,0,0,97735,Fort Rock,Lake,97
ZCTA5 97360,2415,901,209,218,97360,Mill City,Linn,2458
ZCTA5 97362,4322,1540,239,239,97362,Mount Angel,Marion,4287
ZCTA5 97367,10023,4514,808,824,97367,Lincoln City,Lincoln,9746
ZCTA5 97370,8861,3314,260,283,97370,Philomath,Benton,8695
ZCTA5 97380,2272,818,261,261,97380,Siletz,Lincoln,2583
ZCTA5 97456,3056,1200,218,218,97456,Monroe,Benton,2826
ZCTA5 97632,1731,531,106,110,97632,Malin,Klamath,1571
ZCTA5 97865,1511,680,99,99,97865,Mount Vernon,Grant,1091
ZCTA5 97873,274,140,8,9,97873,Seneca,Grant,295
ZCTA5 97876,1034,357,34,34,97876,Summerville,Union,960
ZCTA5 97880,367,167,53,62,97880,Ukiah,Umatilla,338
ZCTA5 97886,990,348,67,67,97886,Weston,Umatilla,1256
ZCTA5 97901,710,269,36,36,97901,Adrian,Malheur,710
ZCTA5 97903,21,10,0,0,97903,Brogan,Malheur,51
ZCTA5 97420,27906,12092,2801,2853,97420,Coos Bay,Coos,27926
ZCTA5 97040,1725,616,22,22,97040,Mosier,Wasco,1623
ZCTA5 97132,29851,10602,881,964,97132,Newberg,Yamhill,29732
ZCTA5 97232,14140,7996,790,993,97232,Portland,Multnomah,13706
ZCTA5 97033,42,26,0,0,97033,Kent,Sherman,50
ZCTA5 97333,23493,9775,1062,1108,97333,Corvallis,Benton,23302
ZCTA5 97377,827,297,0,0,97377,Shedd,Linn,967
ZCTA5 97423,6521,3006,585,621,97423,Coquille,Coos,6670
ZCTA5 97837,83,57,0,0,97837,Hereford,Baker,60
ZCTA5 97856,357,205,34,34,97856,Long Creek,Grant,358
ZCTA5 97205,7679,5286,1515,1545,97205,Portland,Multnomah,7462
ZCTA5 97301,57194,19310,5657,6034,97301,Salem,Marion,56196
ZCTA5 97375,1241,395,31,50,97375,Scotts Mills,Marion,1477
ZCTA5 97429,881,355,61,61,97429,Days Creek,Douglas,746
ZCTA5 97467,5017,2242,407,407,97467,Reedsport,Douglas,5014
ZCTA5 97541,1720,691,203,203,97541,Trail,Jackson,1559
ZCTA5 97450,508,272,25,25,97450,Langlois,Curry,413
ZCTA5 97451,464,167,14,14,97451,Lorane,Lane,391
ZCTA5 97479,9876,4410,811,860,97479,Sutherlin,Douglas,9710
ZCTA5 97498,1830,868,86,86,97498,Yachats,Lincoln,1673
ZCTA5 97525,4293,1909,204,253,97525,Gold Hill,Jackson,4350
ZCTA5 97635,164,94,28,28,97635,New Pine Creek,Lake,170
ZCTA5 97641,1440,783,116,116,97641,Christmas Valley,Lake,1196
ZCTA5 97701,74255,29648,2498,2619,97701,Bend,Deschutes,69499
ZCTA5 97722,54,25,0,0,97722,Diamond,Harney,65
ZCTA5 97733,462,239,81,81,97733,Crescent,Klamath,391
ZCTA5 97737,467,236,23,23,97737,Gilchrist,Klamath,591
ZCTA5 97741,12791,4430,1507,1535,97741,Madras,Jefferson,12608
ZCTA5 97750,340,157,18,18,97750,Mitchell,Wheeler,354
ZCTA5 97756,39342,15252,2474,2690,97756,Redmond,Deschutes,38844
ZCTA5 97760,7364,3076,369,380,97760,Terrebonne,Deschutes,6872
ZCTA5 97906,262,95,12,12,97906,Harper,Malheur,317
ZCTA5 97913,5007,1777,430,434,97913,Nyssa,Malheur,4875
ZCTA5 97015,24332,9403,1293,1345,97015,Clackamas,Clackamas,23633
ZCTA5 97037,805,399,67,67,97037,Maupin,Wasco,975
ZCTA5 97065,626,275,56,56,97065,Wasco,Sherman,598
ZCTA5 97113,14689,4919,368,450,97113,Cornelius,Washington,14918
ZCTA5 97123,49522,16231,1851,2065,97123,Hillsboro,Washington,49317
ZCTA5 97133,4948,1813,76,85,97133,North Plains,Washington,4734
ZCTA5 97138,10799,4700,846,1022,97138,Seaside,Clatsop,10693
ZCTA5 97326,1397,489,72,72,97326,Blodgett,Benton,1205
ZCTA5 97204,1162,512,234,234,97204,Portland,Multnomah,1036
ZCTA5 97212,28770,11547,1056,1270,97212,Portland,Multnomah,26562
ZCTA5 97215,17354,7356,762,820,97215,Portland,Multnomah,18934
ZCTA5 97321,27131,10407,1310,1393,97321,Albany,Linn,26995
ZCTA5 97350,149,54,14,18,97350,Idanha,Marion,210
ZCTA5 97814,12269,5275,930,941,97814,Baker City,Baker,12348
ZCTA5 97835,421,180,19,19,97835,Helix,Umatilla,264
ZCTA5 97867,975,368,102,115,97867,North Powder,Union,811
ZCTA5 97874,431,184,25,27,97874,Spray,Wheeler,444
ZCTA5 97905,91,44,29,29,97905,Durkee,Baker,85
