NAME,Households,Receipt of SNAP,state,ZIP
ZCTA5 97388,365,16,41,97388
ZCTA5 97471,12626,1887,41,97471
ZCTA5 97494,46,0,41,97494
ZCTA5 97495,711,115,41,97495
ZCTA5 97038,5633,882,41,97038
ZCTA5 97055,7027,991,41,97055
ZCTA5 97058,8122,1689,41,97058
ZCTA5 97064,1275,249,41,97064
ZCTA5 97106,1519,70,41,97106
ZCTA5 97107,750,137,41,97107
ZCTA5 97109,195,5,41,97109
ZCTA5 97112,788,133,41,97112
ZCTA5 97115,1474,187,41,97115
ZCTA5 97140,9045,216,41,97140
ZCTA5 97148,1346,61,41,97148
ZCTA5 97219,16878,980,41,97219
ZCTA5 97230,15147,2806,41,97230
ZCTA5 97459,5386,1098,41,97459
ZCTA5 97470,8830,2102,41,97470
ZCTA5 97478,14505,2733,41,97478
ZCTA5 97480,167,56,41,97480
ZCTA5 97489,346,33,41,97489
ZCTA5 97492,243,55,41,97492
ZCTA5 97502,11179,1694,41,97502
ZCTA5 97520,11608,1623,41,97520
ZCTA5 97524,5871,697,41,97524
ZCTA5 97527,14931,3282,41,97527
ZCTA5 97530,3164,269,41,97530
ZCTA5 97532,1082,281,41,97532
ZCTA5 97535,2509,519,41,97535
ZCTA5 97625,102,25,41,97625
ZCTA5 97626,45,0,41,97626
ZCTA5 97637,54,4,41,97637
ZCTA5 97640,72,2,41,97640
ZCTA5 97736,46,8,41,97736
ZCTA5 97738,744,149,41,97738
ZCTA5 97739,5117,1140,41,97739
ZCTA5 97759,3265,254,41,97759
ZCTA5 97812,356,85,41,97812
ZCTA5 97813,530,74,41,97813
ZCTA5 97836,837,121,41,97836
ZCTA5 97481,257,25,41,97481
ZCTA5 97504,19469,3283,41,97504
ZCTA5 97539,1573,271,41,97539
ZCTA5 97624,1660,338,41,97624
ZCTA5 97634,71,16,41,97634
ZCTA5 97636,204,33,41,97636
ZCTA5 97638,227,38,41,97638
ZCTA5 97702,19563,2228,41,97702
ZCTA5 97751,43,0,41,97751
ZCTA5 97761,1001,504,41,97761
