NAME,Population,Households,Receipt of SNAP,state,ZIP,Percent SNAP
ZCTA5 97488,1219,482,63,41,97488,13.0705
ZCTA5 97490,257,92,7,41,97490,7.6087
ZCTA5 97503,12819,4096,978,41,97503,23.877
ZCTA5 97522,588,260,63,41,97522,24.2308
ZCTA5 97523,5485,2481,771,41,97523,31.0762
ZCTA5 97543,600,277,30,41,97543,10.8303
ZCTA5 97544,2606,1093,155,41,97544,14.1812
ZCTA5 97731,371,182,80,41,97731,43.956
ZCTA5 97754,20270,8580,1915,41,97754,22.3193
ZCTA5 97620,177,95,12,41,97620,12.6316
ZCTA5 97621,150,118,8,41,97621,6.7797
ZCTA5 97622,458,196,68,41,97622,34.6939
ZCTA5 97623,2566,1093,158,41,97623,14.4556
ZCTA5 97710,115,53,0,41,97710,0.0
ZCTA5 97720,4435,2029,468,41,97720,23.0655
ZCTA5 97735,97,53,0,41,97735,0.0
ZCTA5 97360,2458,958,258,41,97360,26.9311
ZCTA5 97362,4287,1610,290,41,97362,18.0124
ZCTA5 97367,9746,4532,1034,41,97367,22.8155
ZCTA5 97370,8695,3301,278,41,97370,8.4217
ZCTA5 97380,2583,966,258,41,97380,26.7081
ZCTA5 97392,7011,2450,163,41,97392,6.6531
ZCTA5 97404,34616,13547,2329,41,97404,17.192
ZCTA5 97405,45250,19215,2485,41,97405,12.9326
ZCTA5 97410,637,323,34,41,97410,10.5263
ZCTA5 97415,14182,6548,968,41,97415,14.7831
ZCTA5 97416,1349,405,55,41,97416,13.5802
ZCTA5 97430,349,165,25,41,97430,15.1515
ZCTA5 97435,2135,910,158,41,97435,17.3626
ZCTA5 97439,14713,7074,1079,41,97439,15.253
ZCTA5 97442,2047,907,233,41,97442,25.6891
ZCTA5 97127,4149,1346,284,41,97127,21.0996
ZCTA5 97031,18902,7237,712,41,97031,9.8383
ZCTA5 97137,1385,435,15,41,97137,3.4483
ZCTA5 97324,1322,499,122,41,97324,24.4489
ZCTA5 97057,9,4,0,41,97057,0.0
ZCTA5 97086,30858,11378,1067,41,97086,9.3777
ZCTA5 97089,13765,4639,364,41,97089,7.8465
ZCTA5 97208,0,0,0,41,97208,
ZCTA5 97239,18190,9022,571,41,97239,6.329
ZCTA5 97317,25441,7758,1260,41,97317,16.2413
ZCTA5 97322,36826,14067,2715,41,97322,19.3005
ZCTA5 97369,187,92,6,41,97369,6.5217
ZCTA5 97373,196,0,0,41,97373,
ZCTA5 97384,0,0,0,41,97384,
ZCTA5 97388,790,365,16,41,97388,4.3836
ZCTA5 97471,31035,12626,1887,41,97471,14.9454
ZCTA5 97494,67,46,0,41,97494,0.0
ZCTA5 97495,1673,711,115,41,97495,16.1744
ZCTA5 97038,15676,5633,882,41,97038,15.6577
ZCTA5 97055,18923,7027,991,41,97055,14.1027
ZCTA5 97058,20619,8122,1689,41,97058,20.7954
ZCTA5 97064,3167,1275,249,41,97064,19.5294
ZCTA5 97106,4908,1519,70,41,97106,4.6083
ZCTA5 97107,1828,750,137,41,97107,18.2667
ZCTA5 97109,538,195,5,41,97109,2.5641
ZCTA5 97112,1867,788,133,41,97112,16.8782
ZCTA5 97115,4008,1474,187,41,97115,12.6866
ZCTA5 97140,26248,9045,216,41,97140,2.3881
ZCTA5 97148,4288,1346,61,41,97148,4.5319
ZCTA5 97219,42528,16878,980,41,97219,5.8064
ZCTA5 97230,39776,15147,2806,41,97230,18.5251
ZCTA5 97459,13643,5386,1098,41,97459,20.3862
ZCTA5 97470,19785,8830,2102,41,97470,23.8052
ZCTA5 97478,39939,14505,2733,41,97478,18.8418
ZCTA5 97480,333,167,56,41,97480,33.5329
ZCTA5 97489,785,346,33,41,97489,9.5376
ZCTA5 97492,667,243,55,41,97492,22.6337
ZCTA5 97502,28975,11179,1694,41,97502,15.1534
ZCTA5 97520,25177,11608,1623,41,97520,13.9817
ZCTA5 97524,14974,5871,697,41,97524,11.8719
ZCTA5 97527,36180,14931,3282,41,97527,21.9811
ZCTA5 97530,6913,3164,269,41,97530,8.5019
ZCTA5 97532,2562,1082,281,41,97532,25.9704
ZCTA5 97535,5406,2509,519,41,97535,20.6855
ZCTA5 97625,387,102,25,41,97625,24.5098
ZCTA5 97626,45,45,0,41,97626,0.0
ZCTA5 97637,127,54,4,41,97637,7.4074
ZCTA5 97640,127,72,2,41,97640,2.7778
ZCTA5 97736,105,46,8,41,97736,17.3913
ZCTA5 97738,1772,744,149,41,97738,20.0269
ZCTA5 97739,12595,5117,1140,41,97739,22.2787
ZCTA5 97759,7896,3265,254,41,97759,7.7795
ZCTA5 97812,909,356,85,41,97812,23.8764
ZCTA5 97813,1392,530,74,41,97813,13.9623
ZCTA5 97836,1941,837,121,41,97836,14.4564
ZCTA5 97481,757,257,25,41,97481,9.7276
ZCTA5 97504,47947,19469,3283,41,97504,16.8627
ZCTA5 97539,3311,1573,271,41,97539,17.2282
ZCTA5 97624,3573,1660,338,41,97624,20.3614
ZCTA5 97634,242,71,16,41,97634,22.5352
ZCTA5 97636,503,204,33,41,97636,16.1765
ZCTA5 97638,559,227,38,41,97638,16.7401
ZCTA5 97702,50164,19563,2228,41,97702,11.3888
ZCTA5 97751,77,43,0,41,97751,0.0
ZCTA5 97761,4181,1001,504,41,97761,50.3497
ZCTA5 97817,60,11,0,41,97817,0.0
ZCTA5 97823,922,455,65,41,97823,14.2857
ZCTA5 97824,1774,715,40,41,97824,5.5944
ZCTA5 97839,283,118,11,41,97839,9.322
ZCTA5 97841,553,205,30,41,97841,14.6341
ZCTA5 97844,4133,1358,371,41,97844,27.3196
ZCTA5 97846,1878,891,126,41,97846,14.1414
ZCTA5 97859,151,57,19,41,97859,33.3333
ZCTA5 97862,11949,4295,901,41,97862,20.9779
ZCTA5 97875,3126,1083,202,41,97875,18.6519
ZCTA5 97882,7972,2086,583,41,97882,27.9482
ZCTA5 97904,253,105,30,41,97904,28.5714
ZCTA5 97443,2135,832,156,41,97443,18.75
ZCTA5 97446,6106,1937,349,41,97446,18.0176
ZCTA5 97447,590,247,66,41,97447,26.7206
ZCTA5 97450,413,247,54,41,97450,21.8623
ZCTA5 97451,391,138,19,41,97451,13.7681
