NAME,Population,Households,Receipt of SNAP,Public Assist,ZIP,geometry,Percent SNAP,Percent Public Assist,city,county,pop
ZCTA5 97371,592,304,93,93,97371,,30.5921,30.5921,Rickreall,Polk,659
ZCTA5 97385,3355,1355,47,47,97385,,3.4686,3.4686,Sublimity,Marion,3151
ZCTA5 97389,1929,699,75,75,97389,,10.7296,10.7296,Tangent,Linn,1858
ZCTA5 97424,18361,7310,1819,2032,97424,,24.8837,27.7975,Cottage Grove,Lane,17909
ZCTA5 97426,9987,3758,503,511,97426,,13.3848,13.5977,Creswell,Lane,10119
ZCTA5 97434,903,296,70,70,97434,,23.6486,23.6486,Dorena,Lane,959
ZCTA5 97458,4488,2072,559,576,97458,,26.9788,27.7992,Myrtle Point,Coos,4390
ZCTA5 97462,4014,1669,313,313,97462,,18.7537,18.7537,Oakland,Douglas,3730
ZCTA5 97465,1838,1055,402,402,97465,,38.1043,38.1043,Port Orford,Curry,2021
ZCTA5 97466,1197,450,132,132,97466,,29.3333,29.3333,Powers,Coos,1272
ZCTA5 97488,1165,474,64,69,97488,,13.5021,14.557,Vida,Lane,1219
ZCTA5 97490,439,132,35,35,97490,,26.5152,26.5152,Walton,Lane,257
ZCTA5 97503,13008,4364,886,898,97503,,20.3025,20.5775,White City,Jackson,12819
ZCTA5 97522,650,270,69,69,97522,,25.5556,25.5556,Butte Falls,Jackson,588
ZCTA5 97523,5885,2771,817,836,97523,,29.4839,30.1696,Cave Junction,Josephine,5485
ZCTA5 97543,482,198,8,8,97543,,4.0404,4.0404,Wilderville,Josephine,600
ZCTA5 97544,2594,1066,93,93,97544,,8.7242,8.7242,Williams,Josephine,2606
ZCTA5 97731,458,208,85,85,97731,,40.8654,40.8654,Chemult,Klamath,371
ZCTA5 97754,20985,8913,1674,1748,97754,,18.7816,19.6118,Prineville,Crook,20270
ZCTA5 97620,106,75,9,9,97620,,12.0,12.0,Adel,Lake,177
ZCTA5 97621,260,126,42,42,97621,,33.3333,33.3333,Beatty,Klamath,150
ZCTA5 97622,335,166,58,58,97622,,34.9398,34.9398,Bly,Klamath,458
ZCTA5 97623,2672,1161,240,240,97623,,20.6718,20.6718,Bonanza,Klamath,2566
ZCTA5 97710,102,52,0,0,97710,,0.0,0.0,Fields,Harney,115
ZCTA5 97720,4383,1944,401,406,97720,,20.6276,20.8848,Burns,Harney,4435
ZCTA5 97735,48,37,0,0,97735,,0.0,0.0,Fort Rock,Lake,97
ZCTA5 97360,2415,901,209,218,97360,,23.1964,24.1953,Mill City,Linn,2458
ZCTA5 97362,4322,1540,239,239,97362,,15.5195,15.5195,Mount Angel,Marion,4287
ZCTA5 97367,10023,4514,808,824,97367,,17.8999,18.2543,Lincoln City,Lincoln,9746
ZCTA5 97370,8861,3314,260,283,97370,,7.8455,8.5395,Philomath,Benton,8695
ZCTA5 97380,2272,818,261,261,97380,,31.9071,31.9071,Siletz,Lincoln,2583
ZCTA5 97456,3056,1200,218,218,97456,,18.1667,18.1667,Monroe,Benton,2826
ZCTA5 97632,1731,531,106,110,97632,,19.9623,20.7156,Malin,Klamath,1571
ZCTA5 97865,1511,680,99,99,97865,,14.5588,14.5588,Mount Vernon,Grant,1091
ZCTA5 97873,274,140,8,9,97873,,5.7143,6.4286,Seneca,Grant,295
ZCTA5 97876,1034,357,34,34,97876,,9.5238,9.5238,Summerville,Union,960
ZCTA5 97880,367,167,53,62,97880,,31.7365,37.1257,Ukiah,Umatilla,338
ZCTA5 97886,990,348,67,67,97886,,19.2529,19.2529,Weston,Umatilla,1256
ZCTA5 97901,710,269,36,36,97901,,13.3829,13.3829,Adrian,Malheur,710
ZCTA5 97903,21,10,0,0,97903,,0.0,0.0,Brogan,Malheur,51
ZCTA5 97420,27906,12092,2801,2853,97420,,23.1641,23.5941,Coos Bay,Coos,27926
ZCTA5 97040,1725,616,22,22,97040,,3.5714,3.5714,Mosier,Wasco,1623
ZCTA5 97132,29851,10602,881,964,97132,,8.3098,9.0926,Newberg,Yamhill,29732
ZCTA5 97232,14140,7996,790,993,97232,,9.8799,12.4187,Portland,Multnomah,13706
ZCTA5 97033,42,26,0,0,97033,,0.0,0.0,Kent,Sherman,50
ZCTA5 97333,23493,9775,1062,1108,97333,,10.8645,11.335,Corvallis,Benton,23302
ZCTA5 97377,827,297,0,0,97377,,0.0,0.0,Shedd,Linn,967
ZCTA5 97423,6521,3006,585,621,97423,,19.4611,20.6587,Coquille,Coos,6670
ZCTA5 97837,83,57,0,0,97837,,0.0,0.0,Hereford,Baker,60
ZCTA5 97856,357,205,34,34,97856,,16.5854,16.5854,Long Creek,Grant,358
ZCTA5 97205,7679,5286,1515,1545,97205,,28.6606,29.2281,Portland,Multnomah,7462
ZCTA5 97301,57194,19310,5657,6034,97301,,29.2957,31.2481,Salem,Marion,56196
ZCTA5 97375,1241,395,31,50,97375,,7.8481,12.6582,Scotts Mills,Marion,1477
ZCTA5 97429,881,355,61,61,97429,,17.1831,17.1831,Days Creek,Douglas,746
ZCTA5 97467,5017,2242,407,407,97467,,18.1534,18.1534,Reedsport,Douglas,5014
ZCTA5 97541,1720,691,203,203,97541,,29.3777,29.3777,Trail,Jackson,1559
ZCTA5 97450,508,272,25,25,97450,,9.1912,9.1912,Langlois,Curry,413
ZCTA5 97451,464,167,14,14,97451,,8.3832,8.3832,Lorane,Lane,391
ZCTA5 97479,9876,4410,811,860,97479,,18.39,19.5011,Sutherlin,Douglas,9710
ZCTA5 97498,1830,868,86,86,97498,,9.9078,9.9078,Yachats,Lincoln,1673
ZCTA5 97525,4293,1909,204,253,97525,,10.6862,13.253,Gold Hill,Jackson,4350
ZCTA5 97635,164,94,28,28,97635,,29.7872,29.7872,New Pine Creek,Lake,170
ZCTA5 97641,1440,783,116,116,97641,,14.8148,14.8148,Christmas Valley,Lake,1196
ZCTA5 97701,74255,29648,2498,2619,97701,,8.4255,8.8336,Bend,Deschutes,69499
ZCTA5 97722,54,25,0,0,97722,,0.0,0.0,Diamond,Harney,65
ZCTA5 97733,462,239,81,81,97733,,33.8912,33.8912,Crescent,Klamath,391
ZCTA5 97737,467,236,23,23,97737,,9.7458,9.7458,Gilchrist,Klamath,591
ZCTA5 97741,12791,4430,1507,1535,97741,,34.0181,34.6501,Madras,Jefferson,12608
ZCTA5 97750,340,157,18,18,97750,,11.465,11.465,Mitchell,Wheeler,354
ZCTA5 97756,39342,15252,2474,2690,97756,,16.2208,17.637,Redmond,Deschutes,38844
ZCTA5 97760,7364,3076,369,380,97760,,11.9961,12.3537,Terrebonne,Deschutes,6872
ZCTA5 97906,262,95,12,12,97906,,12.6316,12.6316,Harper,Malheur,317
ZCTA5 97913,5007,1777,430,434,97913,,24.1981,24.4232,Nyssa,Malheur,4875
ZCTA5 97015,24332,9403,1293,1345,97015,,13.7509,14.3039,Clackamas,Clackamas,23633
ZCTA5 97037,805,399,67,67,97037,,16.792,16.792,Maupin,Wasco,975
ZCTA5 97065,626,275,56,56,97065,,20.3636,20.3636,Wasco,Sherman,598
ZCTA5 97113,14689,4919,368,450,97113,,7.4812,9.1482,Cornelius,Washington,14918
ZCTA5 97123,49522,16231,1851,2065,97123,,11.4041,12.7226,Hillsboro,Washington,49317
ZCTA5 97133,4948,1813,76,85,97133,,4.1919,4.6884,North Plains,Washington,4734
ZCTA5 97138,10799,4700,846,1022,97138,,18.0,21.7447,Seaside,Clatsop,10693
ZCTA5 97326,1397,489,72,72,97326,,14.7239,14.7239,Blodgett,Benton,1205
ZCTA5 97204,1162,512,234,234,97204,,45.7031,45.7031,Portland,Multnomah,1036
ZCTA5 97212,28770,11547,1056,1270,97212,,9.1452,10.9985,Portland,Multnomah,26562
ZCTA5 97215,17354,7356,762,820,97215,,10.3589,11.1474,Portland,Multnomah,18934
ZCTA5 97321,27131,10407,1310,1393,97321,,12.5877,13.3852,Albany,Linn,26995
ZCTA5 97350,149,54,14,18,97350,,25.9259,33.3333,Idanha,Marion,210
ZCTA5 97814,12269,5275,930,941,97814,,17.6303,17.8389,Baker City,Baker,12348
ZCTA5 97835,421,180,19,19,97835,,10.5556,10.5556,Helix,Umatilla,264
ZCTA5 97867,975,368,102,115,97867,,27.7174,31.25,North Powder,Union,811
ZCTA5 97874,431,184,25,27,97874,,13.587,14.6739,Spray,Wheeler,444
ZCTA5 97905,91,44,29,29,97905,,65.9091,65.9091,Durkee,Baker,85
ZCTA5 97907,546,238,72,72,97907,,30.2521,30.2521,Huntington,Baker,501
ZCTA5 97918,4533,1652,411,428,97918,,24.8789,25.908,Vale,Malheur,4224
ZCTA5 97850,17388,7071,1544,1632,97850,,21.8357,23.0802,La Grande,Union,17294
ZCTA5 97864,260,168,15,15,97864,,8.9286,8.9286,Monument,Grant,226
ZCTA5 97910,626,214,17,36,97910,,7.9439,16.8224,Jordan Valley,Malheur,526
ZCTA5 97004,3964,1651,75,95,97004,,4.5427,5.7541,Beavercreek,Clackamas,4241
ZCTA5 97017,3787,1245,232,246,97017,,18.6345,19.759,Colton,Clackamas,3407
ZCTA5 97021,1283,553,51,53,97021,,9.2224,9.5841,Dufur,Wasco,1012
ZCTA5 97845,2152,1062,197,197,97845,,18.5499,18.5499,John Day,Grant,2835
ZCTA5 97825,336,170,9,9,97825,,5.2941,5.2941,Dayville,Grant,248
ZCTA5 97838,26071,8938,1836,1854,97838,,20.5415,20.7429,Hermiston,Umatilla,26153
ZCTA5 97842,91,54,6,6,97842,,11.1111,11.1111,Imnaha,Wallowa,118
ZCTA5 97848,236,90,2,2,97848,,2.2222,2.2222,Kimberly,Grant,192
ZCTA5 97883,2256,974,144,152,97883,,14.7844,15.6057,Union,Union,2526
ZCTA5 97885,1244,519,54,54,97885,,10.4046,10.4046,Wallowa,Wallowa,1295
ZCTA5 97914,19281,5945,1859,1887,97914,,31.27,31.741,Ontario,Malheur,19400
ZCTA5 97029,313,115,24,28,97029,,20.8696,24.3478,Grass Valley,Sherman,269
ZCTA5 97001,385,82,29,42,97001,,35.3659,51.2195,Antelope,Wasco,338
ZCTA5 97013,24396,8505,1075,1187,97013,,12.6396,13.9565,Canby,Clackamas,24138
ZCTA5 97022,3918,1532,228,228,97022,,14.8825,14.8825,Eagle Creek,Clackamas,3386
ZCTA5 97002,6418,2270,273,306,97002,,12.0264,13.4802,Aurora,Marion,6657
ZCTA5 97005,27393,11850,1965,2069,97005,,16.5823,17.4599,Beaverton,Washington,26329
ZCTA5 97011,813,370,36,36,97011,,9.7297,9.7297,Brightwood,Clackamas,840
ZCTA5 97018,1696,715,45,45,97018,,6.2937,6.2937,Columbia City,Columbia,1789
