NAME,Population,Households,Receipt of SNAP,Public Assist,ZIP,geometry,Percent SNAP,Percent Public Assist,city,county,pop
ZCTA5 97378,10637,3349,558,639,97378,,16.6617,19.0803,Sheridan,Yamhill,8442
ZCTA5 97394,5090,2423,502,522,97394,,20.7181,21.5435,Waldport,Lincoln,5224
ZCTA5 97403,14024,4261,825,825,97403,,19.3617,19.3617,Eugene,Lane,13398
ZCTA5 97413,944,475,113,123,97413,,23.7895,25.8947,Blue River,Lane,944
ZCTA5 97414,154,73,0,0,97414,,0.0,0.0,Broadbent,Coos,306
ZCTA5 97441,466,155,40,40,97441,,25.8065,25.8065,Gardiner,Douglas,586
ZCTA5 97736,88,36,0,0,97736,,0.0,0.0,Frenchglen,Harney,105
ZCTA5 97738,2045,823,142,149,97738,,17.2539,18.1045,Hines,Harney,1772
ZCTA5 97739,13158,5416,1122,1122,97739,,20.7164,20.7164,La Pine,Deschutes,12595
ZCTA5 97759,7530,3258,216,243,97759,,6.6298,7.4586,Sisters,Deschutes,7896
ZCTA5 97812,832,340,69,69,97812,,20.2941,20.2941,Arlington,Gilliam,909
ZCTA5 97813,1435,553,75,78,97813,,13.5624,14.1049,Athena,Umatilla,1392
ZCTA5 97836,2148,914,107,107,97836,,11.7068,11.7068,Heppner,Morrow,1941
ZCTA5 97481,875,346,147,147,97481,,42.4855,42.4855,Tenmile,Douglas,757
ZCTA5 97504,48053,19656,3244,3339,97504,,16.5039,16.9872,Medford,Jackson,47947
ZCTA5 97539,3296,1522,314,331,97539,,20.6307,21.7477,Shady Cove,Jackson,3311
ZCTA5 97624,3519,1591,321,337,97624,,20.176,21.1816,Chiloquin,Klamath,3573
ZCTA5 97634,284,98,16,16,97634,,16.3265,16.3265,Midland,Klamath,242
ZCTA5 97636,508,220,33,43,97636,,15.0,19.5455,Paisley,Lake,503
ZCTA5 97638,575,188,25,25,97638,,13.2979,13.2979,Silver Lake,Lake,559
ZCTA5 97702,50395,20316,1750,1811,97702,,8.6139,8.9142,Bend,Deschutes,50164
ZCTA5 97751,62,27,0,0,97751,,0.0,0.0,Paulina,Crook,77
ZCTA5 97761,3631,1030,553,570,97761,,53.6893,55.3398,Warm Springs,Jefferson,4181
ZCTA5 97817,55,7,0,0,97817,,0.0,0.0,Bates,Grant,60
ZCTA5 97823,1014,539,89,89,97823,,16.5121,16.5121,Condon,Gilliam,922
ZCTA5 97824,1853,722,45,51,97824,,6.2327,7.0637,Cove,Union,1774
ZCTA5 97839,291,128,11,11,97839,,8.5938,8.5938,Lexington,Morrow,283
ZCTA5 97841,540,195,8,8,97841,,4.1026,4.1026,Imbler,Union,553
ZCTA5 97844,3803,1274,326,326,97844,,25.5887,25.5887,Irrigon,Morrow,4133
ZCTA5 97846,1954,947,118,118,97846,,12.4604,12.4604,Joseph,Wallowa,1878
ZCTA5 97859,230,72,15,15,97859,,20.8333,20.8333,Meacham,Umatilla,151
ZCTA5 97862,12014,4462,1017,1071,97862,,22.7925,24.0027,Milton Freewater,Umatilla,11949
ZCTA5 97875,2885,1059,122,134,97875,,11.5203,12.6534,Stanfield,Umatilla,3126
ZCTA5 97882,7958,2258,464,502,97882,,20.5492,22.2321,Umatilla,Umatilla,7972
ZCTA5 97904,249,117,10,17,97904,,8.547,14.5299,Drewsey,Harney,253
ZCTA5 97908,31,17,0,0,97908,,0.0,0.0,Ironside,Malheur,38
